iter	MultiClass
0	1.874956527
1	1.658725852
2	1.513611745
3	1.397124472
4	1.31203683
5	1.233874745
6	1.169865884
7	1.110877522
8	1.059916345
9	1.024469099
10	0.9881838257
11	0.9448155273
12	0.9142534911
13	0.8879652217
14	0.8603416464
15	0.8324630532
16	0.8143679166
17	0.8000253439
18	0.7787884643
19	0.7618159887
20	0.7523676262
21	0.7315192655
22	0.7249820691
23	0.713671536
24	0.7079485297
25	0.7021538727
26	0.6964634688
27	0.6893311222
28	0.6819953378
29	0.6776041014
30	0.6749650559
31	0.6664436578
32	0.6587583238
33	0.6529036596
34	0.6494934857
35	0.6469412912
36	0.6438767524
37	0.6342837504
38	0.6329484733
39	0.6315437438
40	0.6246277204
41	0.6234846925
42	0.6223251549
43	0.6206190684
44	0.6201621662
45	0.6173873731
46	0.6160891882
47	0.6125048298
48	0.6097218813
49	0.6091057144
50	0.6088212466
51	0.5985572218
52	0.5964495746
53	0.5961475747
54	0.5901115451
55	0.5892771115
56	0.5847675644
57	0.580553579
58	0.5742004136
59	0.5714871608
60	0.5711592999
61	0.5694176436
62	0.5682145678
63	0.5664680611
64	0.5642419541
65	0.5599078553
66	0.5594010918
67	0.5576062703
68	0.5568595511
69	0.5557813089
70	0.5547209088
71	0.5539548706
72	0.5483170385
73	0.5474184266
74	0.5470269976
75	0.5436629035
76	0.5428744263
77	0.5332663293
78	0.5324685762
79	0.5320927644
80	0.5316653376
81	0.5244873551
82	0.524202494
83	0.5222838478
84	0.5218837949
85	0.5212885598
86	0.5164914843
87	0.5122221681
88	0.5094666679
89	0.5090454346
90	0.508186672
91	0.5076598738
92	0.5071112707
93	0.5069321703
94	0.5066690582
95	0.5063470274
96	0.5059940402
97	0.5055638375
98	0.5049811993
99	0.5047755722
