iter	Passed	Remaining
0	669	66233
1	1765	86492
2	2978	96289
3	3836	92082
4	4690	89120
5	5902	92473
6	7381	98070
7	8745	100573
8	9886	99967
9	11412	102715
10	13209	106879
11	16000	117335
12	18486	123717
13	19855	121966
14	21149	119845
15	22476	118001
16	23702	115726
17	25280	115164
18	27111	115580
19	28597	114389
20	29889	112441
21	31157	110466
22	32257	107992
23	33324	105526
24	34407	103221
25	35545	101168
26	36642	99070
27	37879	97404
28	39104	95739
29	40080	93522
30	40778	90764
31	41992	89233
32	43431	88179
33	44876	87112
34	46263	85917
35	47581	84589
36	49055	83527
37	50562	82496
38	52102	81493
39	53563	80344
40	55153	79366
41	56681	78275
42	58114	77035
43	59324	75504
44	60479	73919
45	61909	72676
46	63298	71379
47	64706	70098
48	66130	68830
49	67521	67521
50	68956	66252
51	70451	65032
52	71975	63827
53	73467	62583
54	74926	61303
55	76354	59993
56	77813	58701
57	79345	57456
58	80869	56197
59	82314	54876
60	83081	53117
61	83786	51352
62	84439	49591
63	85423	48050
64	86550	46604
65	88075	45372
66	89718	44189
67	91388	43006
68	92983	41775
69	94584	40536
70	96161	39277
71	97746	38012
72	99423	36773
73	101018	35492
74	102695	34231
75	104160	32892
76	105751	31588
77	107219	30241
78	108810	28924
79	110262	27565
80	111436	26139
81	112509	24697
82	113604	23268
83	115094	21922
84	116610	20578
85	118095	19224
86	119684	17883
87	121213	16529
88	122777	15174
89	124293	13810
90	125881	12449
91	127477	11084
92	129027	9711
93	130530	8331
94	131856	6939
95	133135	5547
96	134855	4170
97	136560	2786
98	137315	1387
99	138093	0
