iter	Passed	Remaining
0	6628	3307497
1	13541	3371824
2	14414	2387989
3	21116	2618454
4	29148	2885702
5	43774	3604085
6	59992	4225160
7	76134	4682271
8	76823	4191166
9	92337	4524536
10	108487	4822767
11	117228	4767274
12	126439	4736612
13	131154	4552923
14	146914	4750246
15	163643	4950218
16	173289	4923454
17	181520	4860714
18	183613	4648325
19	184199	4420791
20	191731	4373294
21	199359	4331537
22	207151	4296133
23	211429	4193352
24	219469	4169925
25	227433	4146293
26	228064	3995352
27	230315	3882452
28	230633	3745808
29	230962	3618411
30	239316	3620625
31	247332	3617240
32	255812	3620135
33	264528	3625590
34	273260	3630455
35	274651	3539956
36	282928	3540427
37	287003	3489353
38	295412	3491931
39	303936	3495275
40	313174	3506030
41	314050	3424645
42	315735	3355608
43	327002	3388932
44	339242	3430116
45	342358	3378931
46	343651	3312215
47	355031	3343212
48	355293	3270149
49	366625	3299627
50	369662	3254479
51	381466	3286478
52	387767	3270419
53	400071	3304291
54	411820	3331998
55	423771	3359898
56	436386	3391565
57	449014	3421801
58	460592	3442730
59	472684	3466354
60	476178	3426920
61	488382	3450183
62	505482	3506284
63	526128	3584251
64	546287	3655926
65	567010	3728526
66	588668	3804379
67	610131	3876131
68	610588	3813968
69	631452	3878921
70	650914	3932993
71	662309	3937064
72	671111	3925541
73	684857	3942555
74	694552	3935798
75	703614	3925428
76	712953	3916614
77	722380	3908264
78	732677	3904522
79	743332	3902496
80	753244	3896413
81	758542	3866715
82	769716	3867127
83	780672	3866188
84	793150	3872438
85	808593	3892533
86	820424	3894660
87	832918	3899570
88	847502	3913748
89	863301	3932819
90	877922	3945827
91	893354	3961833
92	907296	3970641
93	921265	3979082
94	936305	3991618
95	951422	4003901
96	964981	4009149
97	978532	4013979
98	991843	4017465
99	1004659	4018636
100	1018049	4021800
101	1031623	4025354
102	1033771	3984538
103	1047666	3989192
104	1060860	3990856
105	1074945	3995552
106	1078647	3961761
107	1091984	3963498
108	1105125	3964258
109	1118766	3966535
110	1132691	3969523
111	1146231	3970871
112	1161694	3978545
113	1176976	3985201
114	1192052	3990785
115	1206848	3995086
116	1221565	3998798
117	1236022	4001361
118	1249503	4000511
119	1252983	3967782
120	1269521	3976434
121	1269932	3934709
122	1288096	3948068
123	1300053	3942096
124	1314944	3944834
125	1329494	3946278
126	1344244	3948056
127	1358256	3947433
128	1372104	3946131
129	1386459	3946076
130	1400965	3946230
131	1418203	3953779
132	1432458	3952723
133	1446104	3949807
134	1459809	3946891
135	1472797	3941900
136	1479978	3921403
137	1493486	3917697
138	1501183	3898757
139	1514875	3895393
140	1529097	3893233
141	1532976	3864827
142	1546823	3861649
143	1561182	3859588
144	1575159	3856424
145	1589752	3854605
146	1603860	3851447
147	1618157	3848590
148	1634160	3849600
149	1651197	3852794
150	1667512	3854051
151	1684217	3855971
152	1697453	3849779
153	1711314	3844900
154	1726172	3842125
155	1740652	3838362
156	1755100	3834392
157	1755502	3799886
158	1769658	3795304
159	1785054	3793240
160	1798904	3787754
161	1812653	3781956
162	1826641	3776553
163	1840788	3771370
164	1855053	3766321
165	1869131	3760781
166	1882095	3752920
167	1895744	3746352
168	1909570	3740046
169	1923714	3734270
170	1938590	3729802
171	1954617	3727409
172	1971738	3726928
173	1986396	3721639
174	2002141	3718262
175	2017311	3713687
176	2031807	3707761
177	2045449	3700195
178	2059503	3693299
179	2074043	3687188
180	2089372	3682374
181	2107433	3682219
182	2124409	3679988
183	2139039	3673568
184	2152792	3665565
185	2165918	3656442
186	2179143	3647443
187	2192042	3637856
188	2194042	3610303
189	2207278	3601348
190	2221184	3593434
191	2234771	3584945
192	2248541	3576695
193	2262422	3568563
194	2275819	3559615
195	2289853	3551609
196	2302249	3541024
197	2314914	3530829
198	2327613	3520661
199	2340113	3510170
200	2352752	3499865
201	2365814	3490161
202	2378511	3479890
203	2390351	3468352
204	2402142	3456742
205	2414274	3445614
206	2426455	3434547
207	2438745	3423623
208	2450251	3411594
209	2462522	3400626
210	2475651	3390821
211	2488597	3380736
212	2502207	3371518
213	2515959	3362450
214	2528964	3352347
215	2541986	3342241
216	2554404	3331319
217	2568204	3322172
218	2581102	3311825
219	2594263	3301790
220	2606935	3291108
221	2620092	3281016
222	2633267	3270919
223	2646606	3260996
224	2659361	3250330
225	2665655	3231812
226	2677538	3220123
227	2690458	3209669
228	2703207	3198992
229	2715230	3187444
230	2728551	3177403
231	2741701	3167138
232	2755304	3157366
233	2768484	3147080
234	2781525	3136613
235	2793518	3124953
236	2806990	3114930
237	2819730	3104073
238	2832731	3093484
239	2844893	3081968
240	2857579	3071008
241	2870300	3060072
242	2883630	3049765
243	2898477	3041026
244	2911408	3030241
245	2924771	3019886
246	2938071	3009441
247	2950783	2998376
248	2963329	2987131
249	2975317	2975317
250	2986753	2962954
251	2998926	2951324
252	3005024	2933759
253	3005535	2910872
254	3017613	2899275
255	3029998	2887966
256	3042260	2876534
257	3054032	2864634
258	3065803	2852736
259	3066673	2830775
260	3077888	2818449
261	3081264	2799011
262	3093081	2787301
263	3093402	2765314
264	3105003	2753493
265	3117461	2742428
266	3129712	2731172
267	3135806	2714578
268	3147469	2702845
269	3159603	2691514
270	3162859	2672674
271	3166142	2653972
272	3176964	2641651
273	3188759	2630144
274	3200970	2618975
275	3213673	2608199
276	3225644	2596818
277	3237708	2585507
278	3249635	2574083
279	3261205	2562376
280	3273028	2550865
281	3284403	2539006
282	3296512	2527714
283	3307870	2515845
284	3319213	2503968
285	3331521	2492816
286	3343302	2481266
287	3355157	2469769
288	3366137	2457629
289	3377298	2445629
290	3389649	2434490
291	3401269	2422821
292	3413497	2411583
293	3425761	2400363
294	3438232	2389280
295	3438534	2369800
296	3450560	2358464
297	3451152	2339371
298	3462789	2327828
299	3468855	2312570
300	3481025	2301408
301	3482642	2283321
302	3494728	2272150
303	3506114	2260521
304	3518055	2249248
305	3530058	2238011
306	3541891	2226661
307	3553938	2215442
308	3565340	2203818
309	3577347	2192567
310	3578962	2174996
311	3590718	2163637
312	3602714	2152420
313	3614521	2141085
314	3626071	2129597
315	3638134	2118407
316	3650213	2107221
317	3662389	2096084
318	3674351	2084819
319	3680448	2070252
320	3692131	2058852
321	3704051	2047581
322	3716050	2036349
323	3719230	2020322
324	3731017	2009009
325	3742906	1997747
326	3754417	1986282
327	3766479	1975104
328	3777894	1963586
329	3789708	1952273
330	3801302	1940846
331	3812676	1929306
332	3825203	1918345
333	3836993	1907008
334	3848614	1895586
335	3860423	1884254
336	3872400	1873000
337	3878521	1858936
338	3889871	1847402
339	3901350	1835929
340	3912985	1824530
341	3925067	1813335
342	3936987	1802061
343	3948813	1790740
344	3961046	1779600
345	3968011	1766109
346	3979982	1754862
347	3991727	1743513
348	4003489	1732168
349	4015235	1720815
350	4021400	1707090
351	4033135	1695750
352	4045000	1684462
353	4057149	1673287
354	4068956	1661968
355	4074876	1648264
356	4087263	1637195
357	4098665	1625727
358	4110240	1614328
359	4122039	1603015
360	4133747	1591664
361	4145357	1580274
362	4157198	1568970
363	4170215	1558102
364	4182250	1546859
365	4194313	1535623
366	4206362	1524376
367	4218598	1513193
368	4230623	1501928
369	4242901	1490749
370	4254944	1479481
371	4267071	1468239
372	4279399	1457060
373	4291562	1445820
374	4304509	1434836
375	4317138	1423737
376	4323323	1410527
377	4335349	1399239
378	4348003	1388148
379	4360066	1376862
380	4372270	1365617
381	4384067	1354240
382	4387446	1340290
383	4399348	1328969
384	4410949	1317556
385	4423172	1306325
386	4435028	1294982
387	4441198	1281995
388	4452632	1270545
389	4464103	1259106
390	4464565	1244597
391	4476295	1233265
392	4482288	1220368
393	4493962	1209035
394	4505625	1197698
395	4517823	1186499
396	4529794	1175236
397	4540814	1163726
398	4552479	1152381
399	4554534	1138633
400	4566412	1127368
401	4569554	1113971
402	4580871	1102592
403	4592216	1091219
404	4603979	1079945
405	4616004	1068730
406	4627930	1057487
407	4639533	1046169
408	4651831	1035003
409	4663283	1023647
410	4675019	1012352
411	4687201	1001149
412	4698765	989812
413	4710489	978507
414	4722154	967188
415	4733463	955795
416	4744900	944428
417	4755797	932955
418	4767583	921656
419	4778671	910223
420	4784258	897758
421	4795502	886372
422	4807526	875128
423	4819117	863804
424	4830591	852457
425	4843153	841298
426	4854405	829909
427	4866252	818621
428	4877584	807245
429	4889746	796005
430	4901511	784696
431	4913329	773394
432	4916638	760773
433	4928738	749531
434	4940726	738269
435	4952586	726985
436	4964767	715744
437	4976747	704471
438	4988315	693137
439	5000818	681929
440	5012791	670645
441	5025174	659411
442	5037051	648108
443	5049368	636857
444	5061426	625569
445	5067662	613573
446	5078929	602199
447	5090346	590843
448	5101981	579512
449	5102925	566991
450	5114581	555686
451	5126290	544384
452	5138128	533095
453	5150387	521845
454	5150714	509411
455	5162985	498182
456	5175659	486987
457	5186820	475647
458	5198468	464351
459	5242070	455832
460	5244535	443680
